channel_cd,interval_ts_local,meter_id,voltage_lvt,amps_lct,power_factor_pf,number_of_phases,year,month,day,hour,minute,second,week,dayofweek
a,2021-04-03 04:30:00+11:00,396.0,242.96166666666667,0.4218495,-0.7166666666666667,1.0,2021.0,4.0,3.0,4.0,42.5,0.0,13.0,5.0
a,2021-04-03 05:00:00+11:00,396.0,241.43166666666664,0.41464733333333337,-0.6996666666666665,1.0,2021.0,4.0,3.0,5.0,12.5,0.0,13.0,5.0
a,2021-04-03 05:30:00+11:00,396.0,243.11333333333334,0.4651518333333333,-0.767,1.0,2021.0,4.0,3.0,5.0,42.5,0.0,13.0,5.0
a,2021-04-03 06:00:00+11:00,396.0,241.66166666666666,0.40833383333333334,-0.6976666666666667,1.0,2021.0,4.0,3.0,6.0,12.5,0.0,13.0,5.0
a,2021-04-03 06:30:00+11:00,396.0,242.525,0.4837113333333333,-0.8321666666666667,1.0,2021.0,4.0,3.0,6.0,42.5,0.0,13.0,5.0
a,2021-04-03 07:00:00+11:00,396.0,240.67999999999998,0.40470216666666664,-0.6938333333333334,1.0,2021.0,4.0,3.0,7.0,12.5,0.0,13.0,5.0
a,2021-04-03 07:30:00+11:00,396.0,240.62666666666667,0.44956866666666667,-0.7735,1.0,2021.0,4.0,3.0,7.0,42.5,0.0,13.0,5.0
a,2021-04-03 08:00:00+11:00,396.0,241.30666666666664,1.1806693333333333,-0.7066666666666667,1.0,2021.0,4.0,3.0,8.0,12.5,0.0,13.0,5.0
a,2021-04-03 08:30:00+11:00,396.0,241.42666666666665,0.7606205,-0.761,1.0,2021.0,4.0,3.0,8.0,42.5,0.0,13.0,5.0
a,2021-04-03 09:00:00+11:00,396.0,244.35500000000002,0.5600478333333333,-0.9808333333333333,1.0,2021.0,4.0,3.0,9.0,12.5,0.0,13.0,5.0
a,2021-04-03 09:30:00+11:00,396.0,245.405,0.39603633333333327,-0.7345,1.0,2021.0,4.0,3.0,9.0,42.5,0.0,13.0,5.0
a,2021-04-03 10:00:00+11:00,396.0,245.905,0.428369,-0.3263333333333333,1.0,2021.0,4.0,3.0,10.0,12.5,0.0,13.0,5.0
a,2021-04-03 10:30:00+11:00,396.0,244.31166666666664,1.5081948333333333,-0.1978333333333333,1.0,2021.0,4.0,3.0,10.0,42.5,0.0,13.0,5.0
a,2021-04-03 11:00:00+11:00,396.0,244.56499999999997,0.5510941666666667,-0.9801666666666667,1.0,2021.0,4.0,3.0,11.0,12.5,0.0,13.0,5.0
a,2021-04-03 11:30:00+11:00,396.0,245.25333333333333,0.39057666666666674,-0.7156666666666666,1.0,2021.0,4.0,3.0,11.0,42.5,0.0,13.0,5.0
a,2021-04-03 12:00:00+11:00,396.0,244.59166666666667,0.39917983333333334,-0.7391666666666666,1.0,2021.0,4.0,3.0,12.0,12.5,0.0,13.0,5.0
a,2021-04-03 12:30:00+11:00,396.0,244.30499999999998,0.4168156666666667,-0.7185,1.0,2021.0,4.0,3.0,12.0,42.5,0.0,13.0,5.0
a,2021-04-03 13:00:00+11:00,396.0,247.77166666666668,0.3851626666666667,-0.7164999999999999,1.0,2021.0,4.0,3.0,13.0,12.5,0.0,13.0,5.0
a,2021-04-03 13:30:00+11:00,396.0,247.295,0.42533249999999995,-0.7776666666666666,1.0,2021.0,4.0,3.0,13.0,42.5,0.0,13.0,5.0
a,2021-04-03 14:00:00+11:00,396.0,244.43166666666664,0.4316816666666667,-0.7823333333333333,1.0,2021.0,4.0,3.0,14.0,12.5,0.0,13.0,5.0
a,2021-04-03 14:30:00+11:00,396.0,243.72666666666666,0.433041,-0.7786666666666666,1.0,2021.0,4.0,3.0,14.0,42.5,0.0,13.0,5.0
a,2021-04-03 15:00:00+11:00,396.0,244.18499999999997,0.8910805,-0.4681666666666667,1.0,2021.0,4.0,3.0,15.0,12.5,0.0,13.0,5.0
a,2021-04-03 15:30:00+11:00,396.0,242.88,3.1730699999999996,0.9051666666666667,1.0,2021.0,4.0,3.0,15.0,42.5,0.0,13.0,5.0
a,2021-04-03 16:00:00+11:00,396.0,240.94500000000002,3.1490116666666665,0.9398333333333334,1.0,2021.0,4.0,3.0,16.0,12.5,0.0,13.0,5.0
a,2021-04-03 16:30:00+11:00,396.0,240.16666666666666,3.301766666666667,0.9308333333333333,1.0,2021.0,4.0,3.0,16.0,42.5,0.0,13.0,5.0
a,2021-04-03 17:00:00+11:00,396.0,238.78666666666666,3.2684866666666665,0.9368333333333334,1.0,2021.0,4.0,3.0,17.0,12.5,0.0,13.0,5.0
a,2021-04-03 17:30:00+11:00,396.0,237.615,5.288578333333334,0.9518333333333334,1.0,2021.0,4.0,3.0,17.0,42.5,0.0,13.0,5.0
a,2021-04-03 18:00:00+11:00,396.0,240.875,3.95461,0.9281666666666667,1.0,2021.0,4.0,3.0,18.0,12.5,0.0,13.0,5.0
a,2021-04-03 18:30:00+11:00,396.0,237.97833333333335,2.61659,0.9161666666666667,1.0,2021.0,4.0,3.0,18.0,42.5,0.0,13.0,5.0
a,2021-04-03 19:00:00+11:00,396.0,231.71166666666667,3.061605,0.8998333333333334,1.0,2021.0,4.0,3.0,19.0,12.5,0.0,13.0,5.0
a,2021-04-03 19:30:00+11:00,396.0,234.5666666666667,2.5589436666666665,0.8966666666666666,1.0,2021.0,4.0,3.0,19.0,42.5,0.0,13.0,5.0
